YearlyIncome,White,TotalIncome,TotalFirstHouseholdSize,TotalFirstHouseholdIncome,TotalEnrollments,TotalDependentsUnder18,MEDICAID,Hispanic,FoodStampsTotal,FirstShelterStayNightTotal,EverExperiencedDomesticViolence,EverExperiencedChronicHomeless,EarnedIncomeTotal,EarnedIncome,DomViolenceExp: Yes,DomViolenceExp: No,DomViolenceExp: Don't Know,ChildSupportTotal,BarriersSum,AGE
6036.0,1,503.0,2,503.0,1,1,0,0,503.0,2,0,0,0.0,0,0,1,0,0.0,0,38
2400.0,0,0.0,3,200.0,2,1,0,0,0.0,1,0,0,0.0,0,0,1,0,0.0,0,21
0.0,1,0.0,2,0.0,1,1,1,0,0.0,16,0,0,0.0,0,0,1,0,0.0,0,53
18288.0,0,850.0,7,1524.0,1,5,0,0,850.0,22,1,0,0.0,0,1,0,0,0.0,0,43
19152.0,1,1596.0,5,1596.0,1,3,1,0,596.0,47,1,0,1000.0,1,0,0,1,0.0,0,28
8100.0,1,675.0,4,675.0,1,2,1,0,675.0,34,0,0,0.0,0,0,0,1,0.0,1,22
0.0,0,0.0,2,0.0,1,1,0,0,0.0,6,1,0,0.0,0,1,0,0,0.0,1,37
0.0,1,0.0,2,0.0,1,1,0,0,0.0,121,0,0,0.0,0,0,0,1,0.0,1,40
6960.0,1,290.0,2,580.0,1,2,0,0,290.0,237,1,0,0.0,0,0,1,0,0.0,0,29
10284.0,1,857.0,3,857.0,2,2,1,0,457.0,40,1,0,0.0,0,1,0,0,0.0,3,31
5976.0,1,498.0,3,498.0,1,2,0,0,0.0,3,1,0,0.0,0,1,0,0,0.0,1,25
0.0,0,0.0,4,0.0,1,2,0,0,0.0,1,0,0,0.0,0,0,0,1,0.0,0,21
11964.0,0,323.0,2,997.0,4,2,0,0,323.0,4,0,1,0.0,0,0,1,0,0.0,0,25
5208.0,1,434.0,3,434.0,2,1,0,0,434.0,4,0,0,0.0,0,0,0,1,0.0,2,27
1860.0,0,155.0,4,155.0,1,2,1,1,155.0,41,1,0,0.0,0,1,0,0,0.0,3,40
10560.0,1,880.0,2,880.0,1,1,0,0,80.0,56,1,0,800.0,1,1,0,0,0.0,0,22
18960.0,1,1302.0,2,1580.0,1,1,0,0,300.0,10,0,0,0.0,0,0,1,0,0.0,2,60
13104.0,0,1092.0,2,1092.0,1,1,1,0,160.0,123,0,0,0.0,0,0,1,0,0.0,0,61
11820.0,1,835.0,4,985.0,1,2,0,0,685.0,7,0,0,150.0,1,0,0,1,0.0,1,26
15948.0,1,1329.0,3,1329.0,1,2,0,0,329.0,30,1,0,1000.0,1,1,0,0,0.0,0,27
7116.0,0,593.0,2,593.0,1,1,0,0,293.0,30,1,0,0.0,0,1,0,0,0.0,0,42
4320.0,1,360.0,3,360.0,5,1,0,0,360.0,38,1,1,0.0,0,0,1,0,0.0,0,22
11520.0,0,960.0,2,960.0,1,1,0,1,0.0,82,1,0,250.0,1,0,1,0,0.0,1,35
0.0,0,0.0,2,0.0,1,1,0,1,0.0,46,1,0,0.0,0,1,0,0,0.0,0,36
0.0,0,0.0,2,0.0,3,1,0,1,0.0,5,1,1,0.0,0,1,0,0,0.0,2,18
7392.0,1,616.0,5,616.0,4,3,0,0,616.0,34,1,1,0.0,0,0,1,0,0.0,0,28
13200.0,0,1100.0,3,1100.0,3,2,0,0,0.0,45,0,0,0.0,0,0,1,0,0.0,1,37
11808.0,0,984.0,4,984.0,1,3,1,1,504.0,28,1,0,0.0,0,1,0,0,0.0,2,38
0.0,0,0.0,3,0.0,1,2,0,1,0.0,9,1,0,0.0,0,1,0,0,0.0,0,23
0.0,1,0.0,3,0.0,1,2,0,0,0.0,89,0,0,0.0,0,0,1,0,0.0,0,34
6828.0,0,569.0,2,569.0,2,1,1,0,170.0,25,0,0,0.0,0,0,1,0,0.0,0,23
4320.0,1,360.0,3,360.0,1,1,1,0,360.0,1,0,0,0.0,0,0,1,0,0.0,1,23
0.0,1,0.0,2,0.0,1,1,0,0,0.0,5,0,0,0.0,0,0,0,1,0.0,0,18
7296.0,1,608.0,4,608.0,2,3,0,0,608.0,27,1,0,0.0,0,1,0,0,0.0,0,21
8160.0,1,680.0,3,680.0,1,2,1,0,530.0,120,1,0,0.0,0,1,0,0,150.0,1,31
4932.0,1,411.0,4,411.0,1,2,1,0,411.0,143,0,0,0.0,0,0,1,0,0.0,1,34
19200.0,1,1000.0,5,1600.0,3,3,0,0,0.0,21,1,0,1000.0,1,0,0,1,0.0,0,25
0.0,1,0.0,2,0.0,1,1,1,0,0.0,5,1,0,0.0,0,1,0,0,0.0,1,31
12444.0,1,1037.0,3,1037.0,1,2,1,0,700.0,30,1,0,0.0,0,1,0,0,337.0,2,35
24168.0,1,890.0,3,2014.0,1,1,0,0,440.0,9,0,0,450.0,1,0,1,0,0.0,0,20
